epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7908,1.97865,3.99872,4.23701,1.60964,0.60151,0.06849,0.04582,0.03079,0.59851,0.06386,0.04391,0.02668,1.14571,2.29851,3.85365,1.10649,5e-05,5e-05,5e-05
2,24.7733,1.49762,2.62591,2.63412,1.26028,0.23637,0.57081,0.25226,0.15519,0.25278,0.56479,0.25772,0.15855,1.16785,1.99772,8.40137,1.10131,0.000111015,0.000111015,0.000111015
3,44.5467,1.16107,2.04238,1.69527,1.11407,0.48616,0.65928,0.52066,0.34174,0.50335,0.65572,0.53043,0.32644,1.04077,1.99789,4.48538,1.12253,0.00017038,0.00017038,0.00017038
4,93.531,1.14849,2.01723,1.39552,1.11513,0.40419,0.61675,0.43777,0.28747,0.41854,0.59472,0.45085,0.28412,1.04866,1.84064,4.35708,1.04377,0.000228095,0.000228095,0.000228095
5,109.045,1.09552,1.94005,1.26801,1.07544,0.42017,0.69317,0.56334,0.38665,0.41454,0.68352,0.54925,0.34819,0.97352,1.82229,6.42819,1.05805,0.00028416,0.00028416,0.00028416
6,155.466,1.05699,1.84684,1.20532,1.06262,0.38818,0.75183,0.53135,0.35102,0.38383,0.74451,0.52897,0.34389,0.95588,1.88579,4.64121,1.04644,0.000338575,0.000338575,0.000338575
7,184.686,1.02556,1.7691,1.12138,1.05127,0.17846,0.63371,0.25157,0.17504,0.17541,0.63545,0.24677,0.16052,0.99582,2.04056,inf,1.10752,0.00039134,0.00039134,0.00039134
8,212.745,0.9867,1.66467,0.99492,1.03962,0.35822,0.67227,0.40128,0.2804,0.34607,0.65327,0.38961,0.27357,1.05995,2.07954,6.01262,1.13982,0.000442455,0.000442455,0.000442455
9,228.776,1.04216,1.72495,1.05471,1.0491,0.45497,0.67444,0.45317,0.30773,0.46153,0.68577,0.45687,0.28301,1.05133,2.1764,inf,1.12842,0.00049192,0.00049192,0.00049192
10,272.128,0.98635,1.64684,0.97482,1.04103,0.32416,0.54377,0.34164,0.24147,0.33212,0.55574,0.34744,0.23775,1.09782,2.089,5.07363,1.17054,0.000539735,0.000539735,0.000539735
11,292.152,1.02787,1.6823,0.91622,1.04372,0.45475,0.46331,0.35737,0.2318,0.46405,0.46559,0.36376,0.21495,1.29337,3.08469,4.80868,1.28449,0.0005859,0.0005859,0.0005859
12,335.391,1.04817,1.64754,0.92657,1.03407,0.42265,0.59392,0.4277,0.29272,0.42018,0.60285,0.43128,0.28854,1.04635,2.16553,2.72633,1.14199,0.000630415,0.000630415,0.000630415
13,348.485,0.92627,1.52984,0.80988,0.99928,0.41973,0.61757,0.33941,0.23275,0.42908,0.62637,0.32868,0.21714,1.01179,2.19472,6.28737,1.13279,0.00067328,0.00067328,0.00067328
14,369.021,0.90833,1.51949,0.76972,1.02043,0.42083,0.43659,0.33356,0.23508,0.40545,0.41998,0.3191,0.21776,1.03317,2.25721,13.8697,1.15503,0.000714495,0.000714495,0.000714495
15,385.259,0.9947,1.72695,0.87475,1.03039,0.52049,0.39027,0.42759,0.3001,0.54066,0.38821,0.4257,0.27692,1.09968,2.42329,11.9681,1.22951,0.00075406,0.00075406,0.00075406
16,400.655,0.89741,1.6086,0.77705,1.00611,0.48521,0.4191,0.40259,0.2799,0.49861,0.42408,0.41273,0.25579,1.12277,2.69743,7.95563,1.27738,0.000791975,0.000791975,0.000791975
17,413.412,0.96888,1.67849,0.81303,1.01464,0.37411,0.48919,0.30512,0.20245,0.3884,0.49343,0.31038,0.18628,1.30513,2.70797,3.99181,1.32589,0.00082824,0.00082824,0.00082824
18,432.328,0.91106,1.56093,0.77531,0.99553,0.38949,0.50853,0.34595,0.22663,0.39681,0.501,0.34493,0.203,1.22157,3.24933,3.70518,1.26596,0.000862855,0.000862855,0.000862855
19,445.646,0.95703,1.59444,0.93066,1.03966,0.56148,0.64321,0.56002,0.38004,0.57932,0.61671,0.56069,0.34272,1.20035,2.59092,1.76019,1.28339,0.00089582,0.00089582,0.00089582
20,459.023,0.87693,1.54635,0.84612,0.98246,0.38563,0.40667,0.26642,0.17326,0.38683,0.40067,0.26753,0.16385,1.37633,3.99616,inf,1.35297,0.000927135,0.000927135,0.000927135
